active and limited org
St Mary Magdalene Humble
St Mary of the Expectation
St Matthew the Evangelist
St Peter & Paul Bellville
St Philip the Apostle
St Pius Pasadena
St Thomas Presbyterian Church
St Vincent's House
Star of Hope Mission
Tahirih Justice Center
Target Hunger
Texas Defender Service
Texas Health & Human Services
Texas Legal Services Center
Texas National Guard Family Support Foundation
Texas Rio Grande Legal Aid
Texas Temporary Assistance for Needy Families (TANF)
Texas Veterans Commission
The Assistance Fund (TAF)
The Ballard House
The Beacon
The Bridge Over Troubled Waters
The Council on Recovery
The Harris Center for Mental Health & IDD
The Houston Alumni and Youth Center (HAY)
The Lamp Project
The Landing
The Lighthouse of Houston
The Women's Home
Tomball Emergency Asst Ministry
Trinity Lutheran
UH Health Family Care Center
United Way of Greater Houston
University of Houston Law Center Immigration Clinic
USA Cares
VA Community Resource & Referral Center
Vecino Health Centers
Waller Assistance & Restoration Ministries
Wellsprings Village Inc.
Wesley Community Center
West Houston Assistance Ministries (WHAM)
Wheeler Avenue Baptist Church
Windsor Village Social Services
WorkFaith
Workforce Solutions
YMCA International Services
